"_id","propertyId","propertyType","reservationStartDate","reservationEndDate","numberOfReservationDays","isTheReservationOver","tenant","__v"
"684c127c02ec8bd9263a7d77","684c124db1e0125c6d6dae58","Hotel","2025-05-27T11:58:52.982Z","2025-05-29T11:58:52.982Z",2,true,"684c124cb1e0125c6d6dad46",0
"684c127d02ec8bd9263a7d7b","684c124db1e0125c6d6dae5c","House","2025-05-22T11:58:53.208Z","2025-05-27T11:58:53.208Z",5,true,"684c124cb1e0125c6d6dae44",0
"684c127d02ec8bd9263a7d7f","684c124db1e0125c6d6dae5d","House","2025-06-06T11:58:53.372Z","2025-06-10T11:58:53.372Z",4,true,"684c124cb1e0125c6d6dad41",0
"684c127d02ec8bd9263a7d83","684c124db1e0125c6d6dae5e","House","2025-05-17T11:58:53.523Z","2025-05-21T11:58:53.523Z",4,true,"684c124cb1e0125c6d6dad1f",0
"684c127d02ec8bd9263a7d87","684c124db1e0125c6d6dae5f","Hotel","2025-05-12T11:58:53.693Z","2025-05-15T11:58:53.693Z",3,true,"684c124cb1e0125c6d6dad96",0
"684c127d02ec8bd9263a7d8b","684c124db1e0125c6d6dae63","Hotel","2025-06-09T11:58:53.848Z","2025-06-12T11:58:53.848Z",3,true,"684c124cb1e0125c6d6dad6e",0
"684c127e02ec8bd9263a7d8f","684c124db1e0125c6d6dae67","House","2025-05-20T11:58:54.002Z","2025-05-24T11:58:54.002Z",4,true,"684c124cb1e0125c6d6dae20",0
"684c127e02ec8bd9263a7d93","684c124db1e0125c6d6dae68","Hotel","2025-05-14T11:58:54.155Z","2025-05-19T11:58:54.155Z",5,true,"684c124cb1e0125c6d6dad97",0
"684c127e02ec8bd9263a7d97","684c124db1e0125c6d6dae6c","House","2025-05-13T11:58:54.315Z","2025-05-16T11:58:54.315Z",3,true,"684c124cb1e0125c6d6dad87",0
"684c127e02ec8bd9263a7d9b","684c124db1e0125c6d6dae6d","House","2025-06-10T11:58:54.476Z","2025-06-12T11:58:54.476Z",2,true,"684c124cb1e0125c6d6dad90",0
